Cat�logo de Livros da Ateli� Editoral 

Lista gerada em 24/07/2022 - 20:57:04


Titulo;Isbn;Autor;Assunto;Valor;
Velho é o Espelho;978-85-7480-372-2;Maria de Lourdes Ferreira Alves;Literatura brasileira, Poesia;R$ 46,00;
Velho Chico ou A Vida é Amável, O;85-85851-57-0;Dirce de Assis Cavalcanti;Memória;R$ 51,00;
Velhos Amigos;978-85-7480-841-3;Ecléa Bosi;Memória, Ilustrado, Literatura brasileira, Contos, Crônicas;R$ 46,00;
Vermelho;85-7480-039-2;Aguinaldo Gonçalves;Ilustrado, Literatura brasileira, Poesia;R$ 58,00;
Viagem a um Deserto Interior;978-85-7480-711-9;Leila Guenther;Literatura brasileira, Poesia, Ilustrado;R$ 52,00;
Viagem ao Egito, Jordânia e Israel;85-7480-241-7;Pedro Nava;Memória, Literatura brasileira, Ilustrado;R$ 32,00;
Viagem de Joseph Língua;978-85-7480-448-4;Pedro Américo de Farias;Literatura brasileira, Romance;R$ 27,00;
Viagem Magnética;978-85-7480-687-7;Décio Pignatari;Literatura brasileira, Teatro;R$ 39,00;
Viagens na Minha Terra;978-85-7480-592-4;Ivan Teixeira, Kaio Romero, Almeida Garrett;Romance, Literatura portuguesa, Ilustrado;R$ 47,80;
Vida e Morte de M. J. Gonzaga de Sá;978-85-7480-765-2;Lima Barreto, Marcos Scheffel, Kaio Romero;Ilustrado, Literatura brasileira, Romance;R$ 43,00;
Vidas de Dante - 2 edição;978-65-5580-075-3;Dante Alighieri, Eduardo Henrik Aubert;Biografia, História;R$ 75,00;
Vitrola dos Ausentes;85-7480-269-7;Paulo Ribeiro;Literatura brasileira, Romance;R$ 43,00;
Viva Vaia - Poesia 1949-1979;978-85-7480-688-4;Augusto de Campos;Literatura brasileira, Poesia, Poesia concreta, Ilustrado;R$ 160,00;
Vocabulário Português-Nheengatu - Nheengatu-Português;978-85-7480-638-9;E. Stradelli;Tradução, Dicionário, Linguística;R$ 92,00;
Voo Noturno das Galinhas, O;85-7480-323-5;Leila Guenther;Literatura brasileira, Contos;R$ 42,00;
Voz que Canta na Voz que Fala, A - Poética e Política na Trajetória de Gilberto Gil;978-85-7480-718-8;Pedro Henrique Varoni de Carvalho;Música, Crítica musical;R$ 69,00;
William Morris - Sobre as Artes do Livro;978-85-7480-845-1;Gustavo Piqueira, William Morris;Ilustrado, Design, Artes gráficas, Tradução, Editoração, Livros sobre livros;R$ 160,00;
Yaser;978-85-7480-813-0;Eda Nagayama;Ilustrado, Romance, Literatura, Bilíngue, Política;R$ 45,00;
Zé Ferino;85-85851-98-8;Rodrigo Penteado;Literatura brasileira, Romance, Ilustrado;R$ 34,00;
